"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"32",30215,30735.41516228,31301.934134766,31883.5629208037,32177.3631822747,32923.0446208963,33566.0348974957,34132.6123456815,34821.7330735239,35500.7492117011,35471.5341102465,36239.2343221311,36747.9690806386,37084.4663638317,37391.2819651003,36534.3027186682,37336.9151721326,38032.1676701278,38421.8545841853,38805.1086425712,39117.0218450438,37963.0169761588,38810.9534912665,39171.8135164801,39061.5512310159,39114.1450254753,39087.8004325946,37201.4371513411,37967.1388292413,38076.2458031339,37821.1461004906,37652.7700352188,37238.2815119745,32519.3287625134,35473.574378008,36297.3204179314
"33",29690,30187.12672293,30709.3531899348,31284.8699166744,31872.3888479247,32086.8854566748,32879.7278040116,33537.7524921515,34106.2837114247,34804.4646975189,35489.4312888464,35387.3432398811,36194.7520390916,36715.1405764441,37058.4443792066,37374.4142343279,36404.4017172648,37260.7679897788,37991.2406840155,38386.9116748463,38780.3386820378,39100.9695492573,37829.9920211522,38740.5182861639,39134.9032092734,39026.2716582366,39091.4328886824,39073.2090348687,37081.8830043721,37910.6377278555,38042.9078795872,37790.0719064641,37632.8812772947,37225.6362108152,32431.1556268714,35427.9225837752
"34",29196,29640.14588805,30157.4947978418,30681.5963875073,31266.5232488453,31860.2619776711,31993.0706552356,32834.0333666946,33507.6267364469,34078.1856929707,34785.8611194622,35477.123767012,35299.7020609296,36147.7565196808,36680.2165472856,37030.6171562638,37356.2057187082,36270.4616231434,37181.224372968,37947.8767600652,38349.7526453152,38753.7966038567,39083.6065291231,37692.7823374515,38666.7469254011,39095.6820918723,38988.7489907728,39067.0466364692,39057.3945442439,36958.3111520389,37851.1974114982,38007.426476781,37756.9544257886,37611.4834467977,37211.9035247145,32339.6523860853
"35",28752,29092.51565388,29587.7017106011,30125.8736995064,30651.9118509576,31246.679324535,31846.9977541032,31895.8817212823,32785.7196954632,33475.4034570432,34048.0630304475,34765.6908161789,35463.6297236931,35208.4849833265,36097.9767935179,36642.917168683,37000.7123037363,37336.4162687288,36132.614899524,37098.0942940651,37901.7860658578,38310.084581573,38725.2037039382,39064.6906498172,37551.5120885105,38589.4076315382,39053.8510021915,38948.6855948936,39040.7126342088,39040.1244189261,36830.7711247514,37788.5531877166,37969.5122065065,37721.5081214597,37588.3207532203,37196.8708832
"36",28354,28737.608991456,28985.8913803609,29532.4523584953,30092.0197188107,30620.0532346409,31225.1087106568,31832.395873786,31795.2375198907,32734.5295480881,33440.8138247821,34015.6453589153,34743.7057929177,35448.7347155001,35113.5312553835,36045.1253486168,36602.9466349203,36968.4408004749,37314.7877681577,35990.9129732855,37011.1591763678,37852.6620536611,38267.59777833,38694.2635828357,39043.9608154651,37406.223748628,38508.2437267384,39009.093726789,38905.76675293,39012.1390879983,39021.1468582856,36699.2455682647,37722.4207255935,37928.8589332382,37683.4308995167,37563.1197763363
"37",28001,28330.72576087,28721.7285312521,28876.0633451606,29474.1577487331,30055.6689802786,30585.7538758096,31201.5614190266,31816.2352667135,31691.0028429817,32680.1813579807,33403.566744087,33980.6398582764,34719.6351103384,35432.2012483851,35014.6339243756,35988.8886812211,36559.9846583665,36933.4893208361,37291.0375027799,35845.316305698,36920.1605795241,37800.1719943072,38221.9570094173,38660.6544806787,39021.1302498178,37256.8676173511,38422.9619838844,38961.0677590654,38859.6517475977,38981.0085713702,39000.184620151,36563.6392135443,37652.4854700239,37885.1353790949,37642.3957158558
"38",27689,27965.517300806,28305.3112866961,28704.1341460667,28762.8963492232,29412.5528979236,30016.5390239425,30548.7284137982,31175.7684610702,31798.2749700892,31582.9831090613,32622.3700517981,33363.3508205375,33942.7331632502,34693.1865950219,35413.7695944567,34911.5362409999,35928.9284935116,36513.6884938738,36895.5222478166,37264.8597538185,35695.6846209803,36824.7979830366,37743.9587537317,38172.8034198153,38624.0311267072,38995.8879489128,37103.2919402536,38333.2316496516,38909.4064741268,38809.975978102,38946.9799829948,38976.935986096,36423.7707887879,37578.403075287,37837.9869871494
"39",27406,27648.808724275,27927.2006269315,28277.489967927,28684.583588075,28646.1892578011,29347.3483858795,29974.3291364197,30508.6731654919,31147.4420019676,31778.254076606,31470.9280114756,32560.7674688213,33319.8346017021,33901.5916515813,34664.046920271,35393.1576827259,34803.9338939555,35864.8821963708,36463.6932943416,36854.1819588991,37235.9259751707,35541.7851754349,36724.7303138223,37683.6411900782,38119.7550184581,38584.0252822429,38967.898806321,36945.2512474032,38238.6853787808,38853.7194483092,38756.3513028536,38909.6888728128,38951.0750619077,36279.379203118,37499.7999537904
"40",26987,27333.407014606,27605.4378628506,27885.7527793202,28246.9767747698,28662.8147428517,28525.6871720397,29278.2320054857,29928.7194778219,30465.265059208,31116.2736600321,31755.8894629563,31354.5408093118,32495.0229812805,33272.6654778077,33856.860162575,34631.8796206583,35370.0585861164,34691.4818614851,35796.3630562323,36409.6110372576,36809.0872555626,37203.8823384213,35383.3107884008,36619.5806535835,37618.8137583535,38062.4055624218,38540.2437186669,38936.8009033255,36782.4242888431,38138.9227899939,38793.5914524844,38698.364902674,38868.7452966832,38922.2488513953,36130.1382083446
"41",26503,26862.074019521,27256.7487252955,27558.5652096314,27840.8499968791,28213.4596183033,28638.5378546952,28401.0878262428,29204.8611074188,29879.3617220196,30418.1520195919,31081.9252145619,31730.8674098539,31233.4796730654,32424.7537288943,33221.4591450913,33808.1512119944,34596.3148967282,35344.1312013309,34573.7911827274,35722.9493333348,36351.0190163343,36759.8218259434,37168.3392001865,35219.8909860591,36508.9297934736,37549.0346207131,38000.3124951699,38492.2564133275,38902.1948870394,36614.425090142,38033.5018112035,38728.5702121356,38635.5670923299,38823.7220353875,38890.0668072997
