"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050"
"30",26756,27525.645379408,28150.4260974527,29068.8646930715,30022.0091035879,30947.7363908968,32042.4255471672,33156.45469155,33410.8214629068,34447.8605343044,35236.7410587718,35861.2045968278,36512.185802606,35799.6262609517,36717.7721563768,37590.0233429851,38150.66765345,38788.0135485139,39363.5725047474,38022.4418054669,38985.585554083,39526.500163395,39454.0128046387,39597.1574858189,39691.5890680597,37312.9083589368,38284.6075324724,38568.3561887333,38354.3743029168,38321.7137237511,38054.3995178686,32838.6150233609,36270.5094401905,37287.7655587014,37620.1339427205,38266.9325748472
"31",25977,26702.284574132,27482.5757818777,28007.8749295344,28972.9408697104,29944.9570167834,30872.1683010207,31981.4424028659,33107.2730260204,33257.0517989033,34338.5508932877,35143.2720794393,35778.1916818401,36446.3097137128,35592.6930726819,36562.6339879147,37479.2747140514,38048.4438169379,38702.894183694,39296.2455226981,37804.4614659651,38831.3554197987,39418.4512340253,39348.7087424807,39514.780984883,39627.2319744887,37109.1784614065,38149.1857256089,38467.2035780508,38257.3271884775,38246.1363680577,37995.9062906416,32675.6989434665,36152.3043577121,37190.1980557506,37529.893662169
"32",25262,25908.294835458,26647.4748506626,27438.7986220193,27860.5296166877,28874.3460678225,29866.0446586398,30794.8327476224,31919.2678883379,33057.3255399261,33098.298430715,34226.2591961623,35047.5001263742,35693.304773594,36379.2021076873,35378.4674156891,36402.6430678598,37365.6246977272,37943.685835594,38615.9232072465,39227.7168787236,37578.8205097121,38672.438408394,39307.6914959176,39240.8002995276,39430.6806096138,39561.7809435079,36898.4077163678,38009.8592151103,38363.575855119,38157.9578746394,38169.040380059,37936.4688004844,32507.3458676663,36030.829035992,37090.2465720207
"33",24625,25189.975031822,25837.9618206428,26591.5337267662,27394.257110461,27708.6257067797,28773.1329380484,29785.2659377855,30715.7143861737,31855.8517402331,33006.5406946482,32934.7766844976,34111.0347490392,34949.4254801081,35606.5160033308,36310.7997855115,35157.3654381587,36237.9821188076,37249.1026500667,37836.3966110185,38527.0606695371,39157.9129217852,37345.9523754081,38508.9901209097,39194.2294120301,39130.2894944264,39344.8067778629,39495.15692631,36680.9741077195,37866.7261344315,38257.4705291997,38056.2552787264,38090.3701327626,37876.0072877784,32333.8161291759,35906.1446763904
"34",24087,24525.43437775,25116.1840731432,25765.9313191144,26534.3609719584,27348.8356789394,27552.3514961525,28669.2825297052,29702.5399827467,30634.7213168217,31791.0694252874,32954.7779891646,32766.6360535465,33992.841241631,34848.9603858644,35517.7096849473,36240.9567609617,34929.7627716936,36068.7544023489,37129.6438466403,37726.4836571741,38436.1728291587,39086.6726567012,37106.2459609403,38341.077253291,39077.9744283153,39017.0796582454,39257.0154908105,39427.1947266404,36457.203695905,37719.7921420792,38148.7887451778,37952.1128900184,38009.9802161456,37814.361396721,32155.3126411653
"35",23662,23932.591298154,24423.2204606569,25040.5062226344,25692.0725555421,26475.8000353087,27302.3683388419,27391.8283829202,28562.7029237598,29617.7155284691,30551.6904079965,31724.7308417623,32901.8380826569,32593.9434629893,33871.5565857015,34745.9335118119,35426.6893382804,36169.4542955372,34695.9576800598,35894.9707071816,37007.0914792518,37613.7636015941,38343.0406371276,39013.7589704071,36860.007317175,38168.6676659506,38958.7413540146,38900.9802409289,39167.0779038631,39357.6548542325,36227.33792774,37568.9660075386,38037.3405685473,37845.3347722108,37927.6452395902,37751.3018273266
"36",23345,23618.243141148,23774.2022498408,24318.2487508436,24962.7605590764,25616.1942050663,26415.6383070903,27254.6385842332,27227.1098142858,28453.2299953217,29530.5715313937,30466.3879803107,31656.5804411874,32847.4627612441,32416.682898569,33746.9736811667,34640.0906576238,35333.178430744,36096.0011869065,34456.168087612,35716.549371036,36881.1975728479,37497.9631607793,38247.3604487838,38938.8588734129,36607.4567012805,37991.630812595,38836.2511363647,38781.7078904612,39074.680769567,39286.2235050656,35991.5314318907,37414.0604071204,37922.8457010089,37735.6363226854,37843.0601809338
"37",23124,23287.020894935,23573.0959955087,23611.8947487904,24210.3529611479,24882.7116260578,25538.0497760348,26353.6116411188,27205.3829384529,27058.186889488,28340.6342191599,29440.82348821,30378.5159101063,31586.302452729,32791.3386994887,32234.7628081434,33618.8085470991,34531.1024018274,35236.8272558195,36020.2392900153,34210.5362674257,35533.3250442907,36751.6315653778,37378.7272875125,38148.7510275801,38861.589030192,36348.7337572964,37809.7470958119,38710.1395373183,38658.8947535478,38979.4333827394,39212.5178354232,35749.8580880221,37254.8011734354,37804.9417534278,37622.6522049142
"38",22989,23048.607019128,23227.0363002651,23526.2903876086,23445.6719918687,24099.313581492,24800.0748717293,25457.3433840726,26289.4101847049,27154.2962078795,26884.9851893789,28224.6259140351,29348.1299975637,30287.7186575291,31513.5276434642,32733.1038068915,32048.0157384374,33486.7067335565,34418.5716856361,35137.2209553481,35941.7510445214,33959.1183495529,35345.0507621438,36617.9879323535,37255.6274763918,38046.7622491454,38781.503689304,36083.8868145415,37622.7117671754,38579.9656994445,38532.0971353745,38880.8763021561,39136.093775325,35502.3033337109,37090.8331444776,37683.1927153432
"39",22920,22907.908325532,22970.5347952526,23164.7361395976,23477.5271632067,23275.4633531267,23984.8582536125,24714.5218550437,25373.7354095516,26222.685216741,27101.0384595727,26707.3530811144,28104.858326721,29252.099365088,30193.5903340467,31437.8416986635,32672.3553233301,31856.1899686819,33350.2478678299,34302.0412437586,35033.8881158854,35860.0690303791,33701.8587732349,35151.393179005,36479.7926345824,37128.1696413384,37940.8846918959,38698.1049575947,35812.8465236261,37430.1329191707,38445.2198452039,38400.8035997053,38778.4914461131,39056.4561294626,35248.7426525919,36921.7223125637
"40",22750,22797.05489676,22823.7342930615,22889.4398489168,23099.7768452434,23426.4768533847,23101.1297834798,23866.666748429,24625.6836526466,25286.8457168838,26153.0510597067,27045.2356327159,26525.0679449842,27980.9326519958,29152.2933082055,30095.6781667948,31358.7870330414,32608.6503075077,31658.9568920697,33208.9514719779,34180.998155834,34926.3044407003,35774.6777071815,33438.5978829929,34951.9405183625,36336.508764264,36995.7990657035,37830.5531683251,38610.8442137448,35535.4340546444,37231.5396009305,38305.3288777462,38264.4403108801,38671.7051752934,38973.0597769878,34988.9497610868
"41",22517,22566.32566825,22670.0814105958,22736.100533931,22804.942932368,23031.7812661128,23372.7782848912,22922.4719985451,23744.37523681,24533.1525231934,25196.2550610793,26080.0846487703,26986.4775865041,26337.8446255545,27852.4019580495,29048.22845424,29993.483656845,31275.8619193288,32541.5029660983,31455.9196752152,33062.2810161604,34054.8760492276,34813.8934662581,35685.0118761028,33169.0844225472,34746.2107750759,36187.5401246292,36857.9029960307,37715.1468666937,38519.1200605655,35251.3742422292,37026.3895733339,38159.6590364648,38122.373321356,38559.8878733642,38885.3070612674
"42",22195,22459.387418358,22378.1662908486,22538.7064298747,22644.5926402796,22716.6279858544,22960.3370721656,23316.0362845401,22739.2312473494,23617.5762839904,24436.4810095323,25101.5038636232,26003.3234746647,26924.3153148426,26145.3360779552,27718.7709240679,28939.3750110655,29886.4610284345,31188.5178510225,32470.3810707531,31246.6140303311,32909.6433752616,33923.0536084616,34696.02451973,35590.4534818384,32892.9767047119,34533.6523247464,36032.2302589846,36713.8090514524,37593.9869950996,38422.2746340842,34960.2967358418,36814.0696289466,38007.5145297438,37973.9071871061,38442.3512812238
"43",21792,22118.34446265,22398.3382665586,22185.2183396076,22402.5144706369,22548.7656154579,22624.0489809103,22885.0045506369,23255.8295456981,22551.0806629379,23485.8220448186,24335.1890588619,25002.100000609,25922.2745478328,26858.269942451,25947.1275530788,27579.5014244063,28825.1657386449,29774.026697609,31096.1702402801,32394.7167704407,31030.5052609761,32750.3963095594,33784.8648268974,34572.0241201308,35490.3439424756,32609.8274813214,34313.6441238381,35869.8718759838,36562.7961599406,37466.3493190254,38319.6067814127,34661.7205590283,36593.8982628876,37848.1485272229,37818.2961912785
"44",21323,21698.286903552,22037.3767901644,22333.4152943961,21987.1133470336,22261.0512839305,22448.1454694453,22526.7313853543,22805.3171797612,23191.7105492202,22357.6319003432,23348.6273607049,24228.765680014,24897.5202166424,25836.4148419201,26787.8324643142,25742.7429374927,27434.0155829444,28704.9975429031,29655.5607878676,30998.1988328981,32313.9059142214,30806.9947037167,32583.8517672191,33639.6010571471,34441.1773061218,35383.9842083668,32319.0943687527,34085.5017628607,35699.7099386272,36404.0969154086,37331.465328587,38210.3719140118,34355.0649897174,36365.1313615215,37680.765771628
"45",20839,21214.263233562,21599.5238525709,21951.6129392282,22264.1517802069,21783.4316329402,22113.8276209148,22342.227958162,22424.1704662596,22720.7783934981,23123.201099864,22158.4474670938,23205.4723033282,24116.6673705354,24787.2080435921,25745.1873137149,26712.4583346569,25531.6556117626,27281.6966885309,28578.2290975042,29530.4041198299,30893.942528767,32227.3015442363,30575.429122135,32409.2762219226,33486.5086455993,34302.7236700277,35270.6285365487,32020.1597780045,33848.4849541445,35520.9406066342,36236.895118926,37188.5173241353,38093.7750274763,34039.6703081731,36126.968115906
"46",20337,20682.794919605,21099.8477324508,21495.1991459411,21860.5428094659,22190.0538777993,21573.7094883344,21960.3242211182,22230.4823666557,22315.8350157205,22630.8645710512,23049.7946481164,21953.0477218789,23055.8069853248,23998.3220121814,24670.5777107112,25648.0040717009,26631.5700991616,25313.2957696999,27121.8944229948,28444.1852573371,29397.8625707757,30782.7030188431,32134.2165931836,30335.1086952694,32225.8966616049,33324.7942920741,34155.8621499784,35149.4884590246,31712.341656817,33601.8055563745,35332.7175577836,36060.3316809076,37036.6433985549,37968.9745635453,33714.809004263
"47",19835,20129.816873511,20520.1167126379,20979.2179195787,21384.7702902191,21763.6241585017,22110.5937801489,21357.4450025489,21799.9902249952,22112.3462265565,22201.1617724328,22535.0184918359,22970.9490914557,21740.9155973668,22899.0488013902,23873.1232222119,24547.0079924502,25544.2388644118,26544.5488872319,25087.0532020389,26953.9202315335,28302.1499578034,29257.1994427641,30663.7355057856,32033.9138135361,30085.287669163,32032.8946385921,33153.6169540209,33999.7417838343,35019.7219606551,31394.9018462161,33344.6263419299,35134.1443285007,35873.4958904025,36874.9270802958,37835.0707858041
