Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mujeres,26.00,4,6,7,9,10,12,15,17,20,23,25,29,32,36,39,43,51,59,67,75,83,92,100,108,116,124,140,157,173,189,205,268,330,393,455,518,462,405,349,293,237
Mujeres,27.00,5,6,7,9,10,11,14,17,19,22,25,28,32,36,39,43,51,58,66,74,81,89,97,105,112,120,136,153,169,186,202,268,333,399,464,530,475,421,366,311,257
Mujeres,28.00,4,5,7,8,9,10,13,15,18,20,23,27,30,34,38,41,49,56,63,70,78,85,93,100,108,115,131,147,163,179,195,260,326,391,457,522,471,420,369,318,267
Mujeres,29.00,3,4,6,7,8,9,11,14,16,18,20,24,27,31,34,38,45,52,59,66,73,81,88,95,102,110,125,140,155,170,185,248,311,374,437,501,454,408,362,316,270
Mujeres,30.00,3,4,5,6,7,8,10,12,14,16,18,21,24,28,31,34,41,48,55,61,68,75,82,89,96,103,117,132,146,160,174,235,295,356,416,477,436,395,354,313,273
Mujeres,31.00,2,3,4,5,6,7,8,10,12,14,15,18,21,24,27,30,37,43,50,56,63,69,76,82,89,96,109,122,136,149,162,220,277,335,392,450,415,379,344,309,274
Mujeres,32.00,2,2,3,4,5,6,7,9,10,12,13,16,19,21,24,27,33,39,45,51,57,63,70,76,82,88,101,113,126,138,150,204,258,312,366,420,389,359,329,299,269
Mujeres,33.00,1,2,3,3,4,5,6,8,9,10,12,14,17,19,22,24,30,35,41,47,52,58,64,70,76,81,93,105,116,128,140,190,239,289,338,388,362,335,309,282,256
Mujeres,34.00,1,2,3,3,4,4,6,7,8,9,11,13,15,18,20,22,27,32,38,43,48,53,58,64,69,75,86,97,108,119,130,175,221,266,311,356,332,308,285,261,237
Mujeres,35.00,1,2,2,3,3,4,5,6,7,9,10,12,14,16,18,20,25,29,34,38,43,48,53,58,63,68,78,89,99,110,120,161,201,241,281,321,301,280,259,239,218
Mujeres,36.00,1,2,2,3,3,4,5,6,7,8,9,10,12,14,16,18,22,26,30,34,38,43,47,52,56,61,71,81,90,100,110,145,180,215,250,285,267,249,232,214,197
Mujeres,37.00,1,2,2,3,3,3,4,5,6,7,8,9,11,13,14,16,20,23,27,30,34,38,42,46,51,55,64,73,82,91,100,131,162,192,223,253,238,223,207,192,176
Mujeres,38.00,1,2,2,3,3,4,4,5,6,6,7,9,10,11,13,14,17,21,24,27,30,34,38,42,46,50,58,66,75,83,92,119,147,175,203,231,217,202,188,174,159
Mujeres,39.00,1,2,2,3,4,4,5,5,6,6,7,8,9,10,11,12,15,18,21,24,27,31,34,38,42,45,53,61,68,76,84,110,136,162,188,215,201,187,173,159,145
Mujeres,40.00,1,2,3,3,4,5,5,6,6,6,7,7,8,9,10,10,13,16,19,21,24,27,31,34,38,41,48,55,62,69,76,100,125,149,174,198,184,171,157,143,129
Mujeres,41.00,1,2,3,4,5,6,6,6,6,6,6,7,7,8,8,9,11,14,16,19,21,24,28,31,34,37,44,50,56,62,69,91,114,137,160,183,169,155,141,127,114
Mujeres,42.00,1,2,3,4,5,6,6,6,6,6,6,7,7,7,7,7,10,12,14,17,19,22,25,28,31,34,40,45,51,57,62,83,105,126,147,168,155,141,128,114,101
Mujeres,43.00,1,2,3,4,5,6,6,6,6,6,6,6,6,7,7,7,9,12,14,16,18,21,24,27,30,33,38,42,47,52,57,76,95,115,134,153,141,129,117,104,92
Mujeres,44.00,1,2,3,3,4,5,5,5,5,6,6,6,6,7,7,7,10,12,14,16,18,21,24,27,29,32,36,40,44,48,52,70,87,104,121,139,128,118,107,97,86
Mujeres,45.00,1,2,2,3,4,4,4,5,5,5,5,6,6,7,7,8,10,12,14,16,18,21,24,26,29,32,35,38,42,45,48,64,79,95,110,126,117,108,99,90,81
Mujeres,46.00,1,1,2,2,3,4,4,4,5,5,5,6,6,7,8,8,10,12,14,16,18,21,24,26,29,32,34,37,40,42,45,58,72,86,100,114,106,99,92,84,77
Mujeres,47.00,1,1,2,2,3,3,3,4,4,5,5,6,6,7,8,8,10,12,14,16,18,21,23,26,29,31,33,35,37,39,42,54,67,80,92,105,99,92,86,80,73
Mujeres,48.00,1,1,2,2,2,3,3,4,4,4,5,5,6,7,7,8,10,12,14,15,17,20,22,24,27,29,31,33,35,37,39,51,63,76,88,100,94,88,82,76,70
Mujeres,49.00,1,1,2,2,2,2,3,3,4,4,5,5,6,7,7,8,9,11,13,14,16,18,20,22,24,27,29,31,33,35,37,49,61,74,86,98,92,85,79,72,66
Mujeres,50.00,1,1,1,2,2,2,3,3,4,4,5,5,6,6,7,7,9,10,12,13,14,16,18,20,22,24,26,28,30,33,35,47,60,72,84,97,90,83,77,70,63
Mujeres,51.00,1,1,1,2,2,2,2,3,3,4,4,5,6,6,7,7,8,10,11,12,13,15,17,18,20,22,24,26,29,31,33,46,58,71,84,96,89,82,75,67,60
Mujeres,52.00,1,1,1,2,2,2,2,3,3,4,4,5,5,6,6,7,8,9,10,11,12,14,15,17,18,20,22,25,27,29,32,44,56,69,81,94,87,80,73,66,59
Mujeres,53.00,1,1,2,2,2,2,2,3,3,4,4,5,5,5,6,6,7,9,10,11,12,13,15,16,17,19,21,23,26,28,30,42,53,65,76,88,82,77,71,66,60
Mujeres,54.00,2,2,2,2,2,2,2,3,3,3,4,4,5,5,5,6,7,8,9,10,11,13,14,15,17,18,20,22,25,27,29,39,49,59,69,80,76,73,69,66,63
Mujeres,55.00,2,2,2,2,2,2,3,3,3,3,4,4,4,5,5,5,6,7,9,10,11,12,13,15,16,18,20,22,24,26,27,36,45,54,63,72,71,69,68,66,65
