1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
11114.00,11221.00,11298.00,11376.00,11487.00,11647.00,11908.00,12237.00,12588.00,12960.00,13302.00,13716.00,14244.00,14759.00,15285.00,15786.00,16237.00,16685.00,17117.00,17516.00,17870.00,18224.00,18582.00,18910.00,19213.00,19497.00,19781.00,20079.00,20391.00,20708.00,21011.00,21408.00,21886.00,22291.00,22606.00,22816.00,22943.00,23062.00,23242.00,23509.00,23864.00
10801.00,10914.00,11022.00,11100.00,11177.00,11330.00,11578.00,11881.00,12205.00,12551.00,12917.00,13255.00,13664.00,14184.00,14691.00,15173.00,15631.00,16077.00,16519.00,16941.00,17327.00,17715.00,18105.00,18459.00,18779.00,19070.00,19350.00,19633.00,19927.00,20239.00,20558.00,20971.00,21479.00,21947.00,22335.00,22615.00,22825.00,22962.00,23065.00,23240.00,23493.00
10501.00,10605.00,10721.00,10832.00,10910.00,11027.00,11261.00,11548.00,11847.00,12167.00,12507.00,12869.00,13202.00,13605.00,14118.00,14586.00,15029.00,15481.00,15922.00,16354.00,16763.00,17184.00,17609.00,17996.00,18345.00,18652.00,18937.00,19216.00,19496.00,19792.00,20108.00,20529.00,21044.00,21541.00,21989.00,22349.00,22635.00,22851.00,22970.00,23065.00,23222.00
10219.00,10312.00,10420.00,10539.00,10650.00,10766.00,10959.00,11228.00,11511.00,11806.00,12122.00,12458.00,12816.00,13144.00,13541.00,14018.00,14450.00,14887.00,15333.00,15764.00,16183.00,16628.00,17087.00,17511.00,17895.00,18230.00,18530.00,18813.00,19091.00,19374.00,19675.00,20086.00,20599.00,21101.00,21578.00,22007.00,22377.00,22664.00,22859.00,22966.00,23040.00
9950.00,10035.00,10132.00,10244.00,10365.00,10511.00,10695.00,10920.00,11186.00,11466.00,11758.00,12071.00,12405.00,12758.00,13081.00,13445.00,13888.00,14314.00,14745.00,15182.00,15600.00,16056.00,16540.00,16999.00,17421.00,17791.00,18117.00,18416.00,18700.00,18982.00,19272.00,19660.00,20153.00,20653.00,21134.00,21598.00,22040.00,22406.00,22670.00,22851.00,22933.00
9697.00,9771.00,9862.00,9964.00,10078.00,10230.00,10437.00,10651.00,10873.00,11138.00,11416.00,11706.00,12017.00,12346.00,12696.00,12989.00,13321.00,13758.00,14177.00,14598.00,15023.00,15478.00,15976.00,16461.00,16919.00,17326.00,17684.00,18009.00,18309.00,18599.00,18890.00,19258.00,19718.00,20197.00,20677.00,21153.00,21632.00,22065.00,22406.00,22653.00,22808.00
9457.00,9524.00,9604.00,9699.00,9804.00,9947.00,10154.00,10388.00,10601.00,10823.00,11085.00,11362.00,11650.00,11958.00,12285.00,12606.00,12868.00,13195.00,13625.00,14034.00,14443.00,14906.00,15406.00,15905.00,16390.00,16832.00,17225.00,17584.00,17911.00,18218.00,18516.00,18876.00,19308.00,19755.00,20215.00,20696.00,21188.00,21653.00,22060.00,22382.00,22601.00
9224.00,9290.00,9362.00,9447.00,9545.00,9675.00,9868.00,10101.00,10334.00,10547.00,10768.00,11030.00,11306.00,11593.00,11900.00,12198.00,12488.00,12745.00,13066.00,13486.00,13883.00,14332.00,14841.00,15341.00,15840.00,16307.00,16735.00,17129.00,17490.00,17825.00,18141.00,18501.00,18917.00,19337.00,19768.00,20234.00,20728.00,21200.00,21638.00,22024.00,22317.00
8993.00,9062.00,9133.00,9210.00,9298.00,9419.00,9595.00,9811.00,10043.00,10278.00,10490.00,10712.00,10975.00,11251.00,11538.00,11816.00,12084.00,12368.00,12619.00,12931.00,13338.00,13777.00,14273.00,14782.00,15282.00,15763.00,16216.00,16644.00,17041.00,17409.00,17753.00,18123.00,18533.00,18938.00,19343.00,19783.00,20261.00,20731.00,21177.00,21593.00,21950.00
8753.00,8837.00,8910.00,8985.00,9065.00,9174.00,9337.00,9535.00,9751.00,9985.00,10221.00,10435.00,10659.00,10923.00,11199.00,11457.00,11704.00,11966.00,12244.00,12487.00,12788.00,13238.00,13724.00,14220.00,14729.00,15211.00,15676.00,16129.00,16559.00,16963.00,17340.00,17731.00,18146.00,18547.00,18940.00,19357.00,19805.00,20255.00,20699.00,21122.00,21508.00
8483.00,8598.00,8686.00,8763.00,8840.00,8939.00,9088.00,9272.00,9471.00,9691.00,9927.00,10165.00,10383.00,10609.00,10874.00,11122.00,11346.00,11587.00,11843.00,12113.00,12345.00,12690.00,13188.00,13674.00,14170.00,14662.00,15128.00,15592.00,16046.00,16482.00,16894.00,17313.00,17744.00,18152.00,18543.00,18950.00,19371.00,19787.00,20210.00,20633.00,21026.00
8178.00,8333.00,8451.00,8541.00,8620.00,8715.00,8851.00,9020.00,9207.00,9410.00,9632.00,9871.00,10114.00,10334.00,10563.00,10798.00,11010.00,11230.00,11466.00,11715.00,11974.00,12252.00,12646.00,13143.00,13629.00,14107.00,14581.00,15046.00,15511.00,15970.00,16412.00,16862.00,17319.00,17746.00,18146.00,18551.00,18957.00,19342.00,19733.00,20136.00,20529.00
7883.00,8031.00,8188.00,8307.00,8398.00,8494.00,8624.00,8780.00,8953.00,9144.00,9351.00,9577.00,9821.00,10066.00,10290.00,10487.00,10686.00,10894.00,11109.00,11339.00,11578.00,11883.00,12210.00,12603.00,13100.00,13567.00,14027.00,14499.00,14964.00,15434.00,15898.00,16375.00,16861.00,17314.00,17735.00,18148.00,18546.00,18914.00,19276.00,19648.00,20023.00
7586.00,7740.00,7888.00,8046.00,8165.00,8271.00,8402.00,8553.00,8713.00,8890.00,9085.00,9296.00,9528.00,9775.00,10024.00,10215.00,10375.00,10569.00,10774.00,10984.00,11205.00,11489.00,11842.00,12168.00,12560.00,13037.00,13487.00,13946.00,14418.00,14886.00,15360.00,15857.00,16369.00,16851.00,17299.00,17731.00,18131.00,18490.00,18837.00,19182.00,19528.00
7291.00,7445.00,7599.00,7748.00,7904.00,8037.00,8178.00,8328.00,8484.00,8650.00,8831.00,9031.00,9248.00,9483.00,9735.00,9949.00,10101.00,10258.00,10450.00,10650.00,10852.00,11118.00,11449.00,11800.00,12124.00,12498.00,12959.00,13406.00,13864.00,14338.00,14810.00,15315.00,15845.00,16353.00,16831.00,17288.00,17702.00,18063.00,18403.00,18734.00,19056.00
