Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Hombres,37,10197.00,10227.00,10264.00,10309.00,10374.00,10453.00,10548.00,10662.00,10780.00,10883.00,10937.00,11117.00,11405.00,11691.00,12002.00,12331.00,12683.00,13055.00,13349.00,13860.00,14375.00,14796.00,15261.00,15701.00,16142.00,16565.00,16960.00,17407.00,17811.00,18181.00,18508.00,18796.00,19078.00,19354.00,19638.00,19946.00,20269.00,20789.00,21299.00,21782.00,22196.00,22501.00,22768.00,22934.00,23005.00,23124.00,23320.00
Hombres,38,9941.00,9975.00,10013.00,10054.00,10104.00,10175.00,10262.00,10361.00,10478.00,10599.00,10701.00,10831.00,11086.00,11369.00,11652.00,11960.00,12284.00,12632.00,13000.00,13288.00,13793.00,14242.00,14657.00,15116.00,15550.00,15977.00,16389.00,16866.00,17307.00,17714.00,18075.00,18385.00,18674.00,18952.00,19229.00,19519.00,19831.00,20340.00,20858.00,21344.00,21812.00,22202.00,22551.00,22776.00,22942.00,22989.00,23090.00
Hombres,39,9658.00,9722.00,9765.00,9807.00,9853.00,9910.00,9989.00,10080.00,10183.00,10304.00,10426.00,10595.00,10794.00,11045.00,11326.00,11606.00,11909.00,12232.00,12577.00,12939.00,13223.00,13667.00,14109.00,14518.00,14971.00,15392.00,15807.00,16304.00,16776.00,17221.00,17621.00,17961.00,18272.00,18559.00,18840.00,19124.00,19420.00,19899.00,20406.00,20899.00,21369.00,21827.00,22253.00,22559.00,22781.00,22920.00,22946.00
Hombres,40,9336.00,9444.00,9515.00,9563.00,9611.00,9664.00,9729.00,9813.00,9910.00,10017.00,10138.00,10321.00,10553.00,10748.00,10998.00,11277.00,11554.00,11857.00,12176.00,12516.00,12875.00,13102.00,13540.00,13975.00,14378.00,14818.00,15227.00,15729.00,16222.00,16699.00,17138.00,17513.00,17854.00,18163.00,18454.00,18744.00,19035.00,19480.00,19956.00,20437.00,20916.00,21390.00,21873.00,22256.00,22556.00,22750.00,22866.00
Hombres,41,8968.00,9127.00,9242.00,9317.00,9371.00,9426.00,9488.00,9559.00,9649.00,9749.00,9858.00,10035.00,10273.00,10503.00,10698.00,10947.00,11223.00,11500.00,11800.00,12116.00,12454.00,12757.00,12979.00,13410.00,13839.00,14229.00,14656.00,15156.00,15656.00,16154.00,16626.00,17037.00,17413.00,17754.00,18067.00,18368.00,18664.00,19087.00,19529.00,19981.00,20449.00,20943.00,21432.00,21873.00,22247.00,22517.00,22685.00
Hombres,42,8671.00,8768.00,8934.00,9051.00,9132.00,9192.00,9256.00,9323.00,9400.00,9494.00,9596.00,9754.00,9982.00,10219.00,10449.00,10644.00,10891.00,11168.00,11444.00,11742.00,12057.00,12339.00,12636.00,12853.00,13278.00,13693.00,14072.00,14592.00,15089.00,15593.00,16086.00,16528.00,16941.00,17317.00,17663.00,17987.00,18295.00,18707.00,19127.00,19547.00,19988.00,20479.00,20977.00,21423.00,21853.00,22195.00,22438.00
Hombres,43,8301.00,8479.00,8584.00,8751.00,8872.00,8959.00,9027.00,9096.00,9169.00,9250.00,9345.00,9492.00,9697.00,9924.00,10162.00,10393.00,10587.00,10836.00,11114.00,11388.00,11687.00,11945.00,12222.00,12513.00,12725.00,13136.00,13540.00,14014.00,14532.00,15032.00,15532.00,15994.00,16437.00,16850.00,17231.00,17587.00,17918.00,18327.00,18738.00,19138.00,19548.00,20018.00,20503.00,20959.00,21394.00,21792.00,22107.00
Hombres,44,8012.00,8119.00,8302.00,8409.00,8579.00,8705.00,8800.00,8873.00,8946.00,9023.00,9106.00,9242.00,9432.00,9637.00,9865.00,10105.00,10336.00,10533.00,10784.00,11061.00,11337.00,11577.00,11830.00,12101.00,12386.00,12588.00,12987.00,13488.00,13960.00,14480.00,14977.00,15445.00,15907.00,16350.00,16767.00,17159.00,17521.00,17941.00,18350.00,18743.00,19136.00,19578.00,20032.00,20477.00,20920.00,21323.00,21693.00
Hombres,45,7730.00,7838.00,7950.00,8134.00,8244.00,8417.00,8549.00,8647.00,8724.00,8801.00,8879.00,8999.00,9176.00,9367.00,9575.00,9807.00,10047.00,10282.00,10483.00,10734.00,11014.00,11229.00,11463.00,11710.00,11976.00,12249.00,12441.00,12938.00,13437.00,13911.00,14429.00,14894.00,15361.00,15823.00,16269.00,16695.00,17092.00,17533.00,17955.00,18348.00,18737.00,19163.00,19579.00,19994.00,20426.00,20839.00,21212.00
Hombres,46,7444.00,7564.00,7676.00,7790.00,7975.00,8089.00,8266.00,8400.00,8501.00,8581.00,8658.00,8771.00,8930.00,9109.00,9304.00,9516.00,9748.00,9994.00,10233.00,10435.00,10690.00,10905.00,11115.00,11345.00,11587.00,11842.00,12106.00,12398.00,12893.00,13393.00,13865.00,14349.00,14812.00,15279.00,15743.00,16197.00,16627.00,17096.00,17541.00,17950.00,18341.00,18761.00,19152.00,19532.00,19934.00,20337.00,20721.00
