"","year","edad","SxH","SxM"
"336",1981,6,0.994943405392365,0.996010282267591
"337",1982,7,0.995980705808977,0.997129021278846
"338",1983,8,0.99681071033645,0.997758782851879
"339",1984,9,0.997357727234853,0.998178118169691
"340",1985,10,0.997721718419572,0.998465219145375
"341",1986,11,0.997958504108685,0.99866297383104
"342",1987,12,0.998100075419435,0.998796176403505
"343",1988,13,0.99816539758371,0.998879078463972
"344",1989,14,0.998166182749461,0.998919853196292
"345",1990,15,0.998110368318792,0.99892348211681
"346",1991,16,0.998004839918419,0.998893813814632
"347",1992,17,0.997855862865072,0.998834441652618
"348",1993,18,0.997669342333806,0.998748615945358
"349",1994,19,0.997452031064601,0.998639524150484
"350",1995,20,0.997209993626275,0.998510486541828
"351",1996,21,0.996949081120253,0.998364445178619
"352",1997,22,0.996674877800657,0.998204872499093
"353",1998,23,0.996391977112791,0.998035077782755
"354",1999,24,0.996105001653356,0.997859014419434
"355",2000,25,0.995817532448046,0.997679953031685
"356",2001,26,0.995532663255658,0.997500873128157
"357",2002,27,0.995252621532575,0.997325496272996
"358",2003,28,0.994979322446819,0.997156338877977
"359",2004,29,0.99471405856941,0.996994815361925
"360",2005,30,0.994457353566094,0.996842022039062
"361",2006,31,0.994209923871654,0.996698111848842
"362",2007,32,0.993970852967337,0.996562466204118
"363",2008,33,0.993739496396116,0.996433755762122
"364",2009,34,0.99351478292555,0.996309975224978
"365",2010,35,0.993294567871753,0.99618860755544
"366",2011,36,0.993076561300493,0.996067396407485
"367",2012,37,0.992858543800625,0.995943768838097
"368",2013,38,0.992637911763366,0.995814826702602
"369",2014,39,0.992411212096677,0.995677843993106
"370",2015,40,0.992175083969427,0.995530536200866
"371",2016,41,0.991926403260975,0.995370883206971
"372",2017,42,0.991661939964422,0.995195876510074
"373",2018,43,0.991377847885422,0.995003444357839
"374",2019,44,0.991070406186487,0.99479167715716
"375",2020,45,0.990736313840154,0.994557236233952
"376",2021,46,0.99037240124027,0.994299126690964
"377",2022,47,0.989975554382108,0.994014806028493
"378",2023,48,0.989541350555352,0.993699489925045
"379",2024,49,0.989066571735996,0.993352419825569
"380",2025,50,0.988548457094461,0.992972150635867
"381",2026,51,0.987982944648612,0.992553571317678
"382",2027,52,0.98736728240521,0.99209400574754
"383",2028,53,0.98669733853344,0.991591117313762
"384",2029,54,0.985968853864483,0.991040682516405
"385",2030,55,0.985177706689988,0.990438954098655
"386",2031,56,0.984321011345916,0.989782266400264
"387",2032,57,0.98339355533294,0.989066431941362
"388",2033,58,0.982390150193932,0.988285777091538
"389",2034,59,0.981307488635175,0.987435966048914
"390",2035,60,0.980140355795963,0.986512440758681
"391",2036,61,0.978882683688406,0.985508007804785
"392",2037,62,0.977527584780158,0.984416906630135
"393",2038,63,0.976071138101954,0.983233820810847
"394",2039,64,0.974506853757035,0.981949633057921
"395",2040,65,0.972826938402493,0.980557838474601
"396",2041,66,0.971025385827895,0.979051448018213
"397",2042,67,0.969094484372017,0.977420679694861
"398",2043,68,0.967024921740544,0.975655754440153
"399",2044,69,0.9648096643281,0.973747746075081
"400",2045,70,0.962440983179679,0.97168628849461
"401",2046,71,0.959907455635502,0.969460302140281
"402",2047,72,0.957199511394854,0.967058853993769
"403",2048,73,0.954309435875785,0.964467803063557
"404",2049,74,0.951224664172489,0.961672277469713
"405",2050,75,0.947932952310914,0.958659618372894
"406",1970,76,0.944423939277788,0.955416749829585
"407",1971,77,0.940683902773687,0.951927209130335
"408",1972,78,0.936696641350509,0.948176864601212
"409",1973,79,0.932438262995558,0.944158681639813
"410",1974,80,0.927894159843805,0.939857304251129
"411",1975,81,0.923061566174648,0.93524688298997
"412",1976,82,0.91792667318421,0.930311494403643
"413",1977,83,0.912471027327837,0.925035970595982
"414",1978,84,0.906678374185345,0.919390507839646
"415",1979,85,0.900534149434074,0.913355821005942
"416",1980,86,0.893949947095941,0.906857050694484
"417",1981,87,0.886811731345962,0.899788059321488
"418",1982,88,0.879070585080373,0.892096987717739
"419",1983,89,0.870673521440729,0.883727627568996
"420",1984,90,0.86156325976041,0.874619207159419
"421",1985,91,0.851678036362513,0.864706198054817
"422",1986,92,0.840951459087178,0.853918177297684
"423",1987,93,0.829312395587622,0.842179748593908
"424",1988,94,0.816684947343225,0.829410544099518
"425",1989,95,0.802988515219464,0.815525341342553
"426",1990,96,0.788137975371665,0.800434315470884
"427",1991,97,0.772044014388782,0.7840434631631
"428",1992,98,0.754613641533592,0.766255230088522
"429",1993,99,0.735750918847567,0.746969396585902
"430",1994,100,0.71535795841135,0.726084244363825
"431",1995,101,0.693336216512064,0.703498056761422
"432",1996,102,0.669588120810937,0.679110992287069
"433",1997,103,0.644019086818851,0.652827356747355
"434",1998,104,0.61653993128901,0.624558295588061
"435",1999,105,0.587069698000679,0.594224910340716
"436",2000,106,0.555538893748225,0.561761779382831
"437",2001,107,0.521893101486998,0.527120814836487
"438",2002,108,0.486096893018236,0.490275382081921
"439",2003,109,0.448137950679343,0.451224527440105
"440",2004,110,0.65611208851436,0.660534446004245
"441",2005,1,0.921460958333376,0.933579419296557
"442",2006,2,0.953100852085236,0.95680192670452
"443",2007,3,0.983423271935059,0.983618211880937
