sexo,edad,year,Valor
Hombres,0,2022,0.995544629
Hombres,1,2022,0.991146761
Hombres,2,2022,0.987767197
Hombres,3,2022,0.985789477
Hombres,4,2022,0.984761226
Hombres,5,2022,0.984586352
Hombres,6,2022,0.984583336
Hombres,7,2022,0.985247099
Hombres,8,2022,0.986110914
Hombres,9,2022,0.986665736
Hombres,10,2022,0.98734251
Hombres,11,2022,0.989711432
Hombres,12,2022,0.987218474
Hombres,13,2022,0.977718222
Hombres,14,2022,0.963699986
Hombres,15,2022,0.950130713
Hombres,16,2022,0.935060388
Hombres,17,2022,0.924409809
Hombres,18,2022,0.922363385
Hombres,19,2022,0.927026971
Hombres,20,2022,0.931862304
Hombres,21,2022,0.938470015
Hombres,22,2022,0.94574832
Hombres,23,2022,0.951454472
Hombres,24,2022,0.955827285
Hombres,25,2022,0.962038208
Hombres,26,2022,0.970132905
Hombres,27,2022,0.976805002
Hombres,28,2022,0.98133817
Hombres,29,2022,0.983305701
Hombres,30,2022,0.985689072
Hombres,31,2022,0.987709974
Hombres,32,2022,0.989080152
Hombres,33,2022,0.990854021
Hombres,34,2022,0.992884109
Hombres,35,2022,0.993901729
Hombres,36,2022,0.993981984
Hombres,37,2022,0.994746779
Hombres,38,2022,0.995436531
Hombres,39,2022,0.996249453
Hombres,40,2022,0.996937202
Hombres,41,2022,0.997562545
Hombres,42,2022,0.998040086
Hombres,43,2022,0.997902003
Hombres,44,2022,0.997851425
Hombres,45,2022,0.997798609
Hombres,46,2022,0.99783498
Hombres,47,2022,0.997829382
Hombres,48,2022,0.997745067
Hombres,49,2022,0.998109871
Hombres,50,2022,0.998114483
Hombres,51,2022,0.998281314
Hombres,52,2022,0.998544855
Hombres,53,2022,0.998250906
Hombres,54,2022,0.998798131
Hombres,55,2022,0.99884629
Hombres,56,2022,0.99895285
Hombres,57,2022,0.998748607
Hombres,58,2022,0.998787106
Hombres,59,2022,0.998855721
Hombres,60,2022,0.998864786
Hombres,61,2022,0
Hombres,62,2022,0
Hombres,63,2022,0
Hombres,64,2022,0
Hombres,65,2022,0
Hombres,66,2022,0
Hombres,67,2022,0
Hombres,68,2022,0
Hombres,69,2022,0
Hombres,70,2022,0
Hombres,71,2022,0
Hombres,72,2022,0
Hombres,73,2022,0
Hombres,74,2022,0
Hombres,75,2022,0
Hombres,76,2022,0
Hombres,77,2022,0
Hombres,78,2022,0
Hombres,79,2022,0
Hombres,80,2022,0
Hombres,81,2022,0
Hombres,82,2022,0
Hombres,83,2022,0
Hombres,84,2022,0
Hombres,85,2022,0
Hombres,86,2022,0
Hombres,87,2022,0
Hombres,88,2022,0
Hombres,89,2022,0
Hombres,90,2022,0
Hombres,91,2022,0
Hombres,92,2022,0
Hombres,93,2022,0
Hombres,94,2022,0
Hombres,95,2022,0
Hombres,96,2022,0
Hombres,97,2022,0
Hombres,98,2022,0
Hombres,99,2022,0
Hombres,100,2022,0
Hombres,101,2022,0
Hombres,102,2022,0
Hombres,103,2022,0
Hombres,104,2022,0
Hombres,105,2022,0
Hombres,106,2022,0
Hombres,107,2022,0
Hombres,108,2022,0
Hombres,109,2022,0
Hombres,0,2023,0.9956594
Hombres,1,2023,0.991858778
Hombres,2,2023,0.988784667
Hombres,3,2023,0.986888619
Hombres,4,2023,0.98582702
Hombres,5,2023,0.985525189
Hombres,6,2023,0.985411111
Hombres,7,2023,0.98589821
Hombres,8,2023,0.986580589
Hombres,9,2023,0.987019082
Hombres,10,2023,0.987699213
Hombres,11,2023,0.989938781
Hombres,12,2023,0.987744288
Hombres,13,2023,0.978695361
Hombres,14,2023,0.965144555
Hombres,15,2023,0.951996774
Hombres,16,2023,0.937346297
Hombres,17,2023,0.927039949
Hombres,18,2023,0.925211493
Hombres,19,2023,0.929945892
Hombres,20,2023,0.934818038
Hombres,21,2023,0.941432077
Hombres,22,2023,0.948624747
Hombres,23,2023,0.954146375
Hombres,24,2023,0.958260698
Hombres,25,2023,0.964120925
Hombres,26,2023,0.971732156
Hombres,27,2023,0.977965944
Hombres,28,2023,0.98219928
Hombres,29,2023,0.984082099
Hombres,30,2023,0.986322707
Hombres,31,2023,0.9882189
Hombres,32,2023,0.989558661
Hombres,33,2023,0.99132259
Hombres,34,2023,0.993377933
Hombres,35,2023,0.994463841
Hombres,36,2023,0.994670354
Hombres,37,2023,0.995460943
Hombres,38,2023,0.996101381
Hombres,39,2023,0.996810813
Hombres,40,2023,0.997415385
Hombres,41,2023,0.99793693
Hombres,42,2023,0.998359118
Hombres,43,2023,0.998266564
Hombres,44,2023,0.998262028
Hombres,45,2023,0.998257229
Hombres,46,2023,0.998338317
Hombres,47,2023,0.998343131
Hombres,48,2023,0.998223672
Hombres,49,2023,0.998553368
Hombres,50,2023,0.998512181
Hombres,51,2023,0.998639464
Hombres,52,2023,0.998874449
Hombres,53,2023,0.998552328
Hombres,54,2023,0.99910219
Hombres,55,2023,0.999137668
Hombres,56,2023,0.999239971
Hombres,57,2023,0.999025886
Hombres,58,2023,0.999053654
Hombres,59,2023,0.999086426
Hombres,60,2023,0.999077265
Hombres,61,2023,0
Hombres,62,2023,0
Hombres,63,2023,0
Hombres,64,2023,0
Hombres,65,2023,0
Hombres,66,2023,0
Hombres,67,2023,0
Hombres,68,2023,0
Hombres,69,2023,0
Hombres,70,2023,0
Hombres,71,2023,0
Hombres,72,2023,0
Hombres,73,2023,0
Hombres,74,2023,0
Hombres,75,2023,0
Hombres,76,2023,0
Hombres,77,2023,0
Hombres,78,2023,0
Hombres,79,2023,0
Hombres,80,2023,0
Hombres,81,2023,0
Hombres,82,2023,0
Hombres,83,2023,0
Hombres,84,2023,0
Hombres,85,2023,0
Hombres,86,2023,0
Hombres,87,2023,0
Hombres,88,2023,0
Hombres,89,2023,0
Hombres,90,2023,0
Hombres,91,2023,0
Hombres,92,2023,0
Hombres,93,2023,0
Hombres,94,2023,0
Hombres,95,2023,0
Hombres,96,2023,0
Hombres,97,2023,0
Hombres,98,2023,0
Hombres,99,2023,0
Hombres,100,2023,0
Hombres,101,2023,0
Hombres,102,2023,0
Hombres,103,2023,0
Hombres,104,2023,0
Hombres,105,2023,0
Hombres,106,2023,0
Hombres,107,2023,0
Hombres,108,2023,0
Hombres,109,2023,0
Hombres,0,2024,0.99592881
Hombres,1,2024,0.992358892
Hombres,2,2024,0.989467588
Hombres,3,2024,0.987634453
Hombres,4,2024,0.986581272
Hombres,5,2024,0.986226293
Hombres,6,2024,0.986082642
Hombres,7,2024,0.986471198
Hombres,8,2024,0.98703339
Hombres,9,2024,0.987394078
Hombres,10,2024,0.988067005
Hombres,11,2024,0.990156833
Hombres,12,2024,0.988196409
Hombres,13,2024,0.979608602
Hombres,14,2024,0.966603586
Hombres,15,2024,0.953921608
Hombres,16,2024,0.939715637
Hombres,17,2024,0.929767088
Hombres,18,2024,0.928163496
Hombres,19,2024,0.932984968
Hombres,20,2024,0.937926001
Hombres,21,2024,0.944563252
Hombres,22,2024,0.951656738
Hombres,23,2024,0.956982817
Hombres,24,2024,0.960850313
Hombres,25,2024,0.966372816
Hombres,26,2024,0.973505446
Hombres,27,2024,0.979322026
Hombres,28,2024,0.983269578
Hombres,29,2024,0.985073451
Hombres,30,2024,0.98715571
Hombres,31,2024,0.988898131
Hombres,32,2024,0.99017254
Hombres,33,2024,0.991875692
Hombres,34,2024,0.993883237
Hombres,35,2024,0.994998423
Hombres,36,2024,0.995318221
Hombres,37,2024,0.996114117
Hombres,38,2024,0.996709511
Hombres,39,2024,0.99733067
Hombres,40,2024,0.997854583
Hombres,41,2024,0.99827559
Hombres,42,2024,0.998635995
Hombres,43,2024,0.998600416
Hombres,44,2024,0.998657728
Hombres,45,2024,0.998700628
Hombres,46,2024,0.998812839
Hombres,47,2024,0.998835299
Hombres,48,2024,0.998692559
Hombres,49,2024,0.998957359
Hombres,50,2024,0.998869563
Hombres,51,2024,0.998949575
Hombres,52,2024,0.999137851
Hombres,53,2024,0.998815924
Hombres,54,2024,0.999356794
Hombres,55,2024,0.999397382
Hombres,56,2024,0.999498714
Hombres,57,2024,0.999292662
Hombres,58,2024,0.999305732
Hombres,59,2024,0.999308288
Hombres,60,2024,0.999289918
Hombres,61,2024,0
Hombres,62,2024,0
Hombres,63,2024,0
Hombres,64,2024,0
Hombres,65,2024,0
Hombres,66,2024,0
Hombres,67,2024,0
Hombres,68,2024,0
