1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
5475,5567,5672,5782,5890,6027,6231,6470,6713,6996,7287,7584,7903,8198,8478,8674,8791,8911,9038,9175,9320,9537,9828,10123,10403,10666,10942,11234,11541,11871,12225,12617,12985,13412,13950,14520,15084,15611,16141,16671,17182
5270,5343,5433,5534,5641,5779,5982,6221,6460,6701,6983,7273,7571,7889,8182,8384,8505,8627,8750,8880,9019,9223,9500,9798,10104,10361,10598,10877,11170,11480,11814,12177,12572,12931,13347,13898,14449,14965,15478,15992,16499
5083,5134,5204,5292,5390,5525,5726,5963,6201,6439,6679,6960,7251,7547,7863,8084,8217,8341,8465,8590,8721,8916,9180,9467,9776,10059,10289,10530,10811,11109,11423,11760,12122,12508,12857,13288,13822,14325,14826,15323,15814
4913,4941,4990,5059,5144,5269,5465,5698,5934,6171,6407,6647,6928,7217,7512,7761,7918,8053,8180,8305,8430,8616,8871,9144,9442,9727,9981,10216,10460,10746,11050,11363,11695,12050,12428,12794,13209,13693,14181,14666,15140
4757,4766,4793,4841,4908,5018,5202,5429,5662,5896,6132,6368,6609,6888,7176,7409,7598,7756,7891,8017,8141,8320,8565,8830,9114,9387,9643,9902,10141,10390,10682,10981,11287,11615,11964,12360,12708,13074,13544,14017,14479
4608,4603,4612,4639,4685,4777,4944,5159,5385,5616,5849,6084,6321,6561,6839,7069,7246,7435,7592,7725,7849,8027,8265,8520,8796,9055,9298,9558,9820,10064,10320,10605,10895,11199,11525,11892,12267,12568,12921,13375,13825
4460,4448,4443,4452,4478,4549,4696,4893,5107,5332,5562,5795,6032,6267,6506,6731,6909,7084,7269,7423,7554,7732,7969,8217,8484,8733,8960,9206,9469,9736,9986,10234,10511,10803,11108,11450,11793,12121,12408,12746,13177
4305,4295,4284,4281,4289,4340,4465,4641,4837,5050,5273,5503,5737,5972,6208,6397,6571,6747,6919,7100,7250,7435,7672,7918,8176,8414,8630,8861,9110,9377,9648,9891,10134,10417,10714,11032,11345,11639,11952,12226,12541
4141,4136,4127,4118,4115,4148,4252,4405,4581,4776,4987,5210,5440,5673,5907,6095,6236,6408,6581,6749,6925,7128,7372,7617,7872,8100,8305,8524,8756,9009,9280,9547,9788,10038,10328,10633,10916,11181,11462,11760,12012
3965,3970,3967,3959,3951,3973,4058,4190,4343,4517,4710,4920,5143,5372,5603,5792,5934,6074,6242,6410,6573,6801,7062,7312,7565,7789,7984,8190,8410,8646,8902,9171,9440,9692,9953,10245,10507,10742,10993,11259,11536
3776,3790,3796,3795,3789,3806,3879,3991,4122,4274,4446,4638,4848,5070,5297,5485,5631,5771,5908,6071,6233,6447,6731,6996,7251,7473,7665,7862,8069,8292,8531,8790,9066,9347,9610,9865,10106,10320,10542,10780,11025
3584,3603,3619,3627,3628,3646,3711,3810,3922,4051,4201,4372,4564,4772,4991,5176,5324,5468,5605,5738,5896,6107,6374,6660,6929,7154,7343,7535,7732,7942,8166,8411,8682,8971,9264,9513,9710,9905,10108,10318,10536
3390,3412,3433,3451,3461,3484,3549,3640,3738,3847,3974,4123,4293,4482,4688,4868,5015,5161,5302,5435,5563,5768,6028,6295,6583,6822,7015,7205,7398,7596,7807,8043,8305,8588,8889,9159,9343,9497,9681,9873,10066
3197,3220,3243,3267,3286,3318,3386,3475,3565,3660,3768,3894,4041,4209,4395,4563,4708,4854,4996,5132,5260,5432,5682,5942,6211,6470,6679,6873,7061,7254,7452,7678,7935,8209,8503,8773,8972,9115,9261,9437,9614
3004,3030,3055,3081,3106,3145,3219,3309,3396,3484,3577,3683,3809,3953,4118,4270,4406,4548,4690,4827,4958,5127,5341,5589,5849,6090,6321,6529,6719,6908,7100,7318,7569,7836,8120,8376,8570,8731,8868,9008,9171
2810,2841,2869,2897,2925,2969,3047,3140,3228,3313,3398,3490,3596,3718,3859,3992,4114,4248,4386,4523,4654,4821,5029,5242,5490,5724,5939,6167,6371,6561,6748,6962,7207,7466,7741,7980,8159,8318,8474,8606,8735
2611,2653,2686,2717,2747,2792,2870,2966,3057,3142,3223,3307,3398,3500,3619,3732,3838,3958,4087,4220,4352,4516,4718,4923,5135,5360,5570,5782,6004,6206,6394,6605,6848,7099,7363,7590,7751,7898,8053,8204,8327
2404,2460,2503,2539,2572,2618,2694,2788,2880,2967,3048,3127,3209,3296,3395,3488,3576,3681,3798,3923,4051,4211,4406,4606,4809,5001,5204,5411,5617,5835,6034,6246,6486,6732,6986,7198,7347,7481,7625,7777,7920
2190,2259,2315,2361,2400,2446,2519,2608,2699,2787,2869,2947,3025,3103,3186,3262,3334,3422,3524,3636,3755,3908,4096,4289,4487,4673,4845,5044,5244,5446,5659,5882,6122,6362,6608,6808,6946,7071,7203,7344,7488
1971,2052,2121,2179,2226,2276,2345,2430,2516,2601,2684,2763,2840,2913,2987,3051,3109,3181,3266,3363,3470,3611,3788,3973,4164,4346,4513,4681,4872,5067,5264,5501,5749,5987,6224,6416,6545,6663,6789,6919,7054
1756,1842,1921,1991,2049,2105,2174,2254,2334,2414,2494,2573,2650,2722,2792,2848,2897,2955,3024,3105,3196,3323,3486,3661,3844,4021,4186,4348,4509,4695,4885,5103,5361,5604,5835,6019,6146,6260,6378,6502,6628
1549,1634,1717,1796,1865,1930,2001,2078,2153,2228,2303,2379,2456,2529,2596,2650,2693,2742,2798,2863,2938,3047,3193,3354,3527,3696,3857,4017,4172,4328,4508,4716,4953,5203,5437,5618,5744,5858,5972,6089,6209
1358,1436,1518,1600,1676,1749,1826,1903,1976,2046,2116,2187,2261,2333,2401,2455,2496,2539,2585,2636,2695,2787,2915,3059,3218,3378,3533,3688,3839,3990,4140,4336,4559,4785,5024,5210,5339,5455,5570,5684,5797
7354,7760,8215,8716,9262,9853,10534,11284,12040,12786,13515,14244,14995,15739,16479,17082,17543,17998,18406,18773,19099,19648,20490,21414,22434,23505,24602,25752,26918,28141,29397,30805,32404,34061,35759,37311,38715,40124,41516,42865,44123
