Sexo,Edad,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,59,6,6,6,7,7,7,8,8,9,9,10,10,11,12,12,13,17,21,25,29,33,37,41,45,49,53,57,62,66,71,75,89,103,116,130,143,146,149,152,155,159
Hombres,60,5,6,6,6,7,7,7,8,8,8,9,9,10,11,11,12,16,19,23,27,31,35,38,42,45,49,53,57,61,65,69,82,95,107,120,133,136,139,141,144,147
Hombres,61,5,5,6,6,6,6,7,7,7,8,8,9,9,10,10,11,15,18,22,25,29,32,36,39,42,46,49,53,57,61,64,76,88,100,111,123,126,129,131,134,137
Hombres,62,5,5,5,5,6,6,6,7,7,7,8,8,9,9,10,10,14,17,20,24,27,30,33,36,39,43,46,49,53,56,60,70,81,92,103,114,117,119,122,124,127
Hombres,63,5,5,5,5,5,6,6,6,6,7,7,7,8,8,9,9,13,16,19,22,25,28,31,34,37,40,43,46,49,52,55,65,75,85,95,106,108,111,113,116,118
Hombres,64,4,4,5,5,5,5,5,6,6,6,6,7,7,8,8,9,12,15,18,21,24,26,29,32,34,37,40,43,45,48,51,60,69,79,88,97,100,102,105,107,110
Hombres,65,4,4,4,5,5,5,5,5,6,6,6,6,7,7,8,8,11,14,16,19,22,25,27,30,32,35,37,40,42,44,47,56,64,73,81,90,92,95,97,100,102
Hombres,66,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,7,10,13,15,18,20,23,25,28,30,32,35,37,39,41,43,51,59,67,75,83,86,88,90,93,95
Hombres,67,4,4,4,4,4,4,5,5,5,5,5,5,6,6,7,7,9,12,14,17,19,21,24,26,28,30,32,34,36,38,40,48,55,62,70,77,79,81,84,86,88
Hombres,68,3,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,9,11,13,16,18,20,22,24,26,28,30,32,34,36,37,44,51,58,64,71,73,75,77,80,82
Hombres,69,3,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6,8,10,12,15,17,19,21,22,24,26,28,30,31,33,35,41,47,53,59,65,67,69,71,74,76
Hombres,70,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,8,10,12,14,16,17,19,21,23,24,26,28,29,31,33,38,44,49,55,60,62,64,66,68,70
Hombres,71,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,7,9,11,13,15,16,18,19,21,23,24,26,27,29,30,35,40,45,50,55,57,59,61,63,65
Hombres,72,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,7,8,10,12,14,15,17,18,20,21,23,24,25,27,28,33,37,42,47,51,53,55,56,58,60
Hombres,73,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,6,8,9,11,13,14,15,17,18,20,21,22,24,25,26,30,35,39,43,47,49,50,52,53,55
Hombres,74,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,6,7,9,10,12,13,14,16,17,18,19,21,22,23,24,28,32,36,39,43,45,46,48,49,51
Hombres,75,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,7,8,10,11,12,13,14,16,17,18,19,20,21,23,26,30,33,36,40,41,43,44,45,47
Hombres,76,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,5,6,8,9,10,11,12,13,14,15,17,18,19,20,21,24,27,30,34,37,38,39,40,42,43
Hombres,77,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,25,28,31,34,35,36,37,38,39
Hombres,78,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,5,6,7,8,9,10,11,12,13,14,15,15,16,17,20,23,26,28,31,32,33,34,35,36
Hombres,79,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,4,5,6,7,8,8,9,10,11,12,12,13,14,15,15,18,21,23,26,29,29,30,31,32,32
Hombres,80,6,6,6,7,7,7,8,9,9,10,11,12,13,13,14,15,21,27,32,38,44,48,52,56,60,64,69,74,78,83,88,102,116,129,143,157,163,170,176,183,189
Mujeres,0,208,211,214,216,219,222,222,222,222,222,221,231,241,251,261,271,358,445,532,619,705,731,757,783,808,834,797,761,724,687,651,703,755,808,860,913,941,969,998,1026,1054
Mujeres,1,250,256,262,269,275,282,284,287,290,293,295,309,323,337,351,365,468,570,673,776,879,895,912,929,945,962,944,927,909,892,874,893,913,932,952,971,980,990,999,1009,1018
Mujeres,2,275,284,294,303,312,321,325,330,335,340,345,361,378,394,410,427,539,652,764,876,989,998,1007,1016,1025,1034,1032,1029,1027,1024,1022,1016,1010,1005,999,994,989,985,980,976,971
Mujeres,3,288,299,310,320,331,342,348,354,361,367,373,391,409,427,445,462,579,695,812,928,1045,1048,1051,1055,1058,1061,1070,1079,1088,1097,1105,1082,1058,1035,1011,987,973,959,945,930,916
Mujeres,4,290,302,313,325,337,348,356,363,370,377,384,403,421,440,458,477,593,709,826,942,1058,1057,1056,1054,1053,1052,1069,1086,1103,1120,1137,1102,1066,1030,994,958,938,917,897,876,856
Mujeres,5,284,296,308,320,332,344,351,359,367,375,383,401,419,438,456,474,587,700,813,926,1039,1034,1030,1025,1021,1016,1039,1061,1084,1107,1129,1086,1043,1000,957,914,889,865,841,817,793
Mujeres,6,272,284,296,307,319,331,339,347,355,363,371,389,407,425,443,461,568,676,783,890,998,991,984,977,970,964,990,1016,1042,1068,1094,1047,1000,953,906,859,833,808,782,756,731
Mujeres,7,257,268,279,291,302,313,321,330,338,346,354,372,389,406,423,441,541,642,743,844,945,937,928,920,912,904,932,959,987,1015,1042,994,946,898,850,801,775,750,724,698,672
Mujeres,8,241,251,262,273,283,294,302,311,319,327,336,352,369,386,402,419,513,608,702,796,890,882,873,864,856,847,875,903,931,959,987,939,891,843,795,747,722,696,670,645,619
Mujeres,9,226,236,246,256,266,276,285,293,302,310,319,335,352,368,385,401,490,579,668,756,845,837,828,819,811,802,830,858,885,913,941,893,846,798,751,703,677,652,627,601,576
Mujeres,10,208,217,226,236,245,254,263,271,280,288,297,312,328,344,360,376,458,541,623,705,787,779,772,764,757,749,776,802,829,856,882,837,792,747,702,657,633,609,584,560,536
Mujeres,11,181,189,197,205,213,221,229,237,245,253,261,276,290,305,319,334,406,478,550,622,694,689,683,678,672,667,692,717,742,767,792,753,715,677,638,600,578,557,536,514,493
Mujeres,12,186,194,202,211,219,228,237,246,255,264,273,290,307,323,340,357,433,509,586,662,739,734,730,725,721,716,742,767,792,817,843,799,755,712,668,624,598,572,546,520,494
Mujeres,13,238,250,261,273,285,297,309,322,334,346,359,383,407,431,456,480,583,686,790,893,996,990,984,979,973,967,996,1025,1054,1083,1112,1044,976,908,841,773,730,688,645,603,560
Mujeres,14,318,335,352,369,386,403,420,437,454,471,488,523,557,592,627,662,806,949,1093,1236,1379,1371,1363,1355,1347,1339,1374,1409,1444,1479,1514,1411,1308,1205,1102,999,932,866,800,733,667
Mujeres,15,392,414,436,457,479,501,522,543,564,585,606,651,696,740,785,830,1011,1191,1372,1553,1733,1723,1713,1703,1694,1684,1724,1765,1806,1846,1887,1752,1617,1482,1347,1212,1124,1035,947,859,770
Mujeres,16,468,495,521,548,574,601,626,651,676,702,727,782,837,892,947,1002,1221,1440,1659,1878,2096,2084,2072,2060,2048,2036,2081,2126,2171,2216,2261,2095,1928,1761,1595,1428,1318,1208,1098,988,878
Mujeres,17,516,546,576,605,635,665,693,721,750,778,806,868,930,992,1053,1115,1359,1604,1848,2092,2337,2326,2316,2306,2295,2285,2339,2392,2446,2500,2554,2365,2176,1987,1798,1609,1481,1353,1225,1096,968
Mujeres,18,518,548,578,609,639,670,699,728,758,787,817,880,943,1006,1070,1133,1381,1630,1878,2127,2375,2372,2369,2366,2363,2360,2430,2499,2568,2637,2707,2511,2315,2119,1923,1727,1586,1446,1306,1166,1026
Mujeres,19,488,517,546,575,605,634,663,693,722,751,780,841,902,963,1024,1085,1323,1561,1799,2037,2275,2283,2291,2299,2307,2315,2403,2492,2580,2668,2756,2564,2372,2180,1988,1795,1648,1501,1354,1207,1060
Mujeres,20,461,490,518,546,574,602,632,661,690,719,749,807,866,925,984,1043,1272,1501,1729,1958,2187,2206,2224,2243,2261,2279,2385,2492,2598,2704,2810,2621,2433,2244,2055,1866,1712,1558,1404,1250,1096
Mujeres,21,433,460,488,515,542,569,598,627,656,685,714,771,828,884,941,997,1216,1435,1655,1874,2093,2122,2151,2180,2209,2238,2363,2488,2612,2737,2862,2677,2491,2306,2121,1936,1775,1614,1454,1293,1132
Mujeres,22,399,424,450,475,500,526,554,582,610,638,666,719,772,825,878,932,1137,1343,1548,1754,1959,1996,2033,2070,2107,2144,2280,2415,2551,2686,2822,2648,2474,2300,2126,1952,1791,1630,1469,1308,1148
Mujeres,23,359,382,405,427,450,473,499,525,550,576,602,651,700,749,798,847,1035,1224,1412,1600,1789,1829,1869,1909,1949,1989,2124,2259,2393,2528,2663,2509,2355,2201,2047,1893,1742,1590,1439,1287,1136
Mujeres,24,317,336,356,375,395,415,438,460,483,506,529,573,617,661,705,749,918,1087,1256,1425,1594,1634,1674,1714,1754,1794,1920,2046,2172,2298,2423,2296,2168,2040,1913,1785,1649,1513,1377,1241,1105
Mujeres,25,271,287,303,320,336,352,372,392,412,432,451,490,529,568,606,645,793,941,1088,1236,1384,1424,1465,1505,1546,1586,1703,1821,1938,2056,2173,2072,1972,1871,1770,1669,1549,1429,1309,1190,1070
Mujeres,26,221,234,247,259,272,285,301,318,334,351,368,400,433,466,499,532,657,781,906,1031,1156,1196,1237,1277,1318,1358,1466,1574,1682,1790,1898,1827,1755,1683,1611,1539,1437,1335,1233,1130,1028
Mujeres,27,180,190,200,210,220,229,243,257,270,284,298,326,354,381,409,437,543,648,754,859,965,1004,1044,1084,1124,1163,1262,1361,1460,1558,1657,1610,1562,1514,1466,1419,1332,1245,1158,1071,984
Mujeres,28,154,162,170,178,187,195,206,218,230,241,253,277,302,326,350,375,467,560,653,746,839,877,915,953,991,1029,1121,1212,1303,1394,1486,1453,1421,1388,1356,1323,1246,1170,1093,1017,940
Mujeres,29,138,145,152,160,167,174,184,194,205,215,225,247,269,291,312,334,419,504,588,673,758,794,830,865,901,937,1022,1106,1191,1276,1361,1337,1314,1291,1267,1244,1174,1105,1036,966,897
Mujeres,30,121,127,133,140,146,152,161,169,178,187,195,214,234,253,272,291,367,443,519,595,671,704,737,770,803,837,914,991,1068,1145,1222,1209,1195,1182,1168,1155,1094,1033,972,911,850
Mujeres,31,105,110,116,121,126,132,139,146,153,160,167,183,200,217,233,250,317,385,453,520,588,618,648,677,707,737,806,874,943,1011,1080,1077,1073,1069,1066,1062,1010,957,904,852,799
Mujeres,32,92,96,101,105,110,114,120,126,131,137,143,157,172,186,200,215,275,335,395,455,515,542,569,596,623,650,711,772,834,895,956,960,964,968,973,977,932,887,842,797,752
Mujeres,33,80,84,87,91,95,99,104,109,113,118,123,135,148,160,173,185,238,292,345,398,451,477,502,527,552,577,632,687,742,797,852,862,872,882,892,902,864,826,788,749,711
Mujeres,34,70,73,76,79,83,86,90,94,99,103,107,118,128,139,150,160,207,255,302,349,396,420,444,468,491,515,565,616,666,716,766,780,794,808,822,837,804,772,739,707,675
Mujeres,35,62,64,67,70,73,76,80,83,87,90,94,103,112,122,131,140,182,224,266,308,349,372,394,417,439,462,507,552,597,642,687,705,722,739,756,773,746,719,692,665,638
Mujeres,36,55,58,61,63,66,68,71,75,78,81,84,92,100,108,116,124,162,199,236,274,311,332,353,374,395,416,456,497,537,577,618,637,656,675,694,713,691,669,646,624,602
Mujeres,37,50,52,55,57,59,62,64,67,70,73,76,83,89,96,103,110,144,177,211,244,278,297,317,336,355,375,411,448,484,520,557,577,597,618,638,659,641,623,605,586,568
Mujeres,38,45,47,49,51,53,55,57,60,62,65,67,73,79,85,91,97,127,157,187,217,247,265,283,301,319,337,370,403,436,469,502,524,546,568,589,611,597,582,568,553,538
Mujeres,39,40,41,43,45,47,48,51,53,55,57,59,64,70,75,80,85,112,139,166,192,219,236,253,270,287,303,334,364,394,425,455,478,500,523,546,569,557,546,534,523,511
Mujeres,40,36,37,39,40,42,44,45,47,49,51,53,58,62,67,72,76,100,124,148,172,197,212,228,244,259,275,303,331,359,386,414,437,460,484,507,530,521,512,503,495,486
Mujeres,41,33,34,36,37,38,40,42,43,45,47,48,53,57,61,65,69,91,113,135,157,178,193,208,222,237,251,277,303,329,355,380,403,426,449,472,494,488,481,475,468,462
Mujeres,42,30,31,33,34,35,36,38,40,41,43,44,48,52,56,59,63,83,103,123,143,162,176,190,203,217,230,254,278,302,325,349,372,394,417,439,462,457,453,448,444,439
Mujeres,43,27,29,30,31,32,33,35,36,37,39,40,44,47,50,54,57,75,93,111,129,147,160,172,185,197,210,232,254,276,297,319,342,364,387,410,432,429,426,423,420,418
Mujeres,44,25,26,27,28,29,30,31,33,34,35,36,39,42,45,48,51,68,84,101,117,133,145,157,168,180,191,211,231,251,271,291,314,336,359,382,405,403,402,400,399,397
Mujeres,45,23,24,25,26,27,28,29,30,31,32,33,36,38,41,44,47,62,77,92,107,122,133,143,154,165,176,194,212,230,248,266,289,312,335,357,380,380,379,379,379,378
Mujeres,46,21,22,23,24,25,26,27,28,29,30,31,33,35,38,40,43,57,71,85,99,113,123,133,142,152,162,179,196,212,229,246,268,291,313,335,358,358,359,360,360,361
Mujeres,47,19,20,21,22,23,24,25,25,26,27,28,30,33,35,37,40,52,65,78,91,104,113,123,132,141,150,165,181,196,211,226,248,270,293,315,337,338,340,341,342,344
Mujeres,48,17,18,19,20,21,22,22,23,24,25,26,28,30,32,34,36,48,60,72,84,96,104,113,121,130,138,152,166,180,194,208,229,251,272,294,315,318,320,323,325,328
Mujeres,49,16,16,17,18,19,20,20,21,22,23,24,25,27,29,31,33,44,55,66,77,88,96,104,112,120,128,140,153,165,178,190,211,232,253,274,294,298,302,305,309,313
Mujeres,50,14,15,16,16,17,18,19,19,20,21,22,23,25,27,28,30,40,51,61,71,81,89,96,104,111,119,130,141,152,164,175,195,215,235,255,275,280,284,289,294,298
Mujeres,51,13,14,14,15,16,16,17,18,18,19,20,21,23,25,26,28,37,47,56,66,75,82,89,96,103,110,121,131,141,151,161,181,200,219,238,257,263,268,274,279,285
Mujeres,52,12,12,13,14,14,15,16,16,17,18,18,20,21,23,24,26,34,43,52,61,70,77,83,90,96,103,112,121,131,140,149,167,186,204,223,241,247,253,259,265,271
Mujeres,53,11,11,12,13,13,14,14,15,16,16,17,18,20,21,22,24,32,40,48,57,65,71,77,83,90,96,104,113,121,129,138,155,173,190,208,225,232,238,245,251,258
Mujeres,54,10,10,11,11,12,12,13,14,14,15,15,17,18,19,21,22,29,37,45,52,60,66,72,77,83,89,97,104,112,120,127,144,161,177,194,211,218,224,231,238,244
Mujeres,55,9,10,10,11,11,11,12,13,13,14,14,15,17,18,19,20,27,34,41,49,56,61,67,72,78,83,90,97,104,111,118,134,150,166,182,198,204,211,218,225,231
Mujeres,56,9,9,9,10,10,11,11,12,12,13,13,14,15,16,18,19,25,32,39,45,52,57,62,67,73,78,84,91,97,103,110,125,140,155,170,185,192,199,205,212,219
