a¤o,edad,valor
2040,25,0.014128977
2040,26,0.011757038
2040,27,0.009770856
2040,28,0.00811168
2040,29,0.006728403
2040,30,0.005577014
2040,31,0.004619916
2040,32,0.003825198
2040,33,0.003165907
2040,34,0.002619374
2040,35,0.002166591
2040,36,0.001791667
2041,1,0.043678126
2041,2,0.039941551
2041,3,0.05936632
2041,4,0.0797306
2041,5,0.098453339
2041,6,0.113403767
2041,7,0.123316083
2041,8,0.127856169
2041,9,0.127440785
2041,10,0.122953449
2041,11,0.115470076
2041,12,0.106052954
2041,13,0.09562654
2041,14,0.084922751
2041,15,0.07447439
2041,16,0.064636181
2041,17,0.055617867
2041,18,0.047519398
2041,19,0.040362779
2041,20,0.034118294
2041,21,0.028724692
2041,22,0.024103907
2041,23,0.020171267
2041,24,0.016842201
2041,25,0.014036373
2041,26,0.01167998
2041,27,0.009706815
2041,28,0.008058515
2041,29,0.006684304
2041,30,0.005540461
2041,31,0.004589636
2041,32,0.003800127
2041,33,0.003145157
2041,34,0.002602206
2041,35,0.00215239
2041,36,0.001779924
2042,1,0.043398246
2042,2,0.039685614
2042,3,0.058985913
2042,4,0.079219704
2042,5,0.097822471
2042,6,0.1126771
2042,7,0.122525901
2042,8,0.127036895
2042,9,0.126624172
2042,10,0.12216559
2042,11,0.114730168
2042,12,0.10537339
2042,13,0.095013786
2042,14,0.084378585
2042,15,0.073997174
2042,16,0.064222006
2042,17,0.05526148
2042,18,0.047214904
2042,19,0.040104143
2042,20,0.033899671
2042,21,0.02854063
2042,22,0.023949455
2042,23,0.020042014
2042,24,0.01673428
2042,25,0.013946431
2042,26,0.011605137
2042,27,0.009644616
2042,28,0.008006877
2042,29,0.006641472
2042,30,0.005504959
2042,31,0.004560227
2042,32,0.003775777
2042,33,0.003125004
2042,34,0.002585531
2042,35,0.002138598
2042,36,0.001768519
2043,1,0.043126372
2043,2,0.039436998
2043,3,0.058616388
2043,4,0.078723421
2043,5,0.097209649
2043,6,0.111971219
2043,7,0.12175832
2043,8,0.126241055
2043,9,0.125830917
2043,10,0.121400267
2043,11,0.114011426
2043,12,0.104713264
2043,13,0.094418559
2043,14,0.083849984
2043,15,0.073533609
2043,16,0.063819679
2043,17,0.054915286
2043,18,0.04691912
2043,19,0.039852905
2043,20,0.033687302
2043,21,0.028361833
2043,22,0.02379942
2043,23,0.019916458
2043,24,0.016629446
2043,25,0.013859061
2043,26,0.011532435
2043,27,0.009584196
2043,28,0.007956717
2043,29,0.006599866
2043,30,0.005470472
2043,31,0.004531659
2043,32,0.003752123
2043,33,0.003105427
2043,34,0.002569334
2043,35,0.002125201
2043,36,0.001757439
2044,1,0.042862234
2044,2,0.039195456
2044,3,0.058257378
2044,4,0.07824126
2044,5,0.096614265
2044,6,0.111285424
2044,7,0.121012582
2044,8,0.125467861
2044,9,0.125060235
2044,10,0.120656722
2044,11,0.113313135
2044,12,0.104071922
2044,13,0.09384027
2044,14,0.083336424
2044,15,0.073083235
2044,16,0.063428799
2044,17,0.054578944
2044,18,0.046631752
2044,19,0.039608817
2044,20,0.033480976
2044,21,0.028188125
2044,22,0.023653655
2044,23,0.019794475
2044,24,0.016527595
2044,25,0.013774178
2044,26,0.011461802
2044,27,0.009525495
2044,28,0.007907984
2044,29,0.006559443
2044,30,0.005436967
2044,31,0.004503903
2044,32,0.003729142
2044,33,0.003086407
2044,34,0.002553597
2044,35,0.002112184
2044,36,0.001746676
2045,1,0.042605573
2045,2,0.038960752
2045,3,0.05790853
2045,4,0.077772749
2045,5,0.096035735
2045,6,0.110619043
2045,7,0.120287954
2045,8,0.124716554
